NEWID,STATE,PSU,st_wgt,CALADJ45
04831264,12,S35D,22300.233085,1.3535404895
04831334,12,S35B,39507.590083,1.3099125507
04832874,12,S35D,15712.461087,1.0650054841
04833023,12,,24975.585383,0.765204376
04833024,12,,42887.252591,1.2662988566
04833043,12,S35D,33709.974495,2.3028135233
04833044,12,S35D,23052.957733,2.3576644605
04833544,12,,24435.69895,0.988289213
04833853,12,S35B,35256.275684,1.1724190128
04833854,12,S35B,24280.448339,0.8476017853
04833863,12,,32528.991977,1.0127630357
04834523,12,S35B,31356.622239,1.0427391827
04834524,12,S35B,25555.151403,0.8921001643
04834754,12,S35B,25279.412124,1.0650054841
04834864,12,S35D,11348.217151,1.2321170204
04835603,12,,54572.771994,1.716645451
04835624,12,S35B,23882.089072,1.5198101826
04836193,12,,41367.498543,1.2875720701
04836194,12,,29707.52986,0.879435855
04836264,12,S35D,25210.820355,1.5070047508
04836304,12,,41981.021484,1.5029765505
04836423,12,S35B,30796.256251,1.0811221633
04836424,12,S35B,29598.088371,1.2209395359
04836723,12,,32773.329443,0.9382461456
04836724,12,,36494.74649,1.3512387072
04837823,12,,29598.966529,0.8650472285
04838743,12,,82266.22967,2.3292515891
04838744,12,,83666.246637,2.5673104881
04838884,12,S35D,12577.330503,0.7967720572
04839123,12,,42706.792351,1.2902290041
04839163,12,,37991.527605,1.1443296768
04839164,12,,32018.408381,1.0019030683
04839273,12,S35D,23551.823793,1.422339935
04839274,12,S35D,23717.869461,1.6261358272
04840214,12,S35B,40813.022369,1.2679053469
04840304,12,,33569.089169,1.0341931796
04841653,12,,37911.906462,1.1724190128
04841654,12,,26382.932829,0.8476017853
04842064,12,S35B,29316.105669,0.9214430588
04842123,12,S35B,18418.005135,0.8294276214
04842124,12,S35B,27724.132953,0.9079271975
04842343,12,,31415.314057,1.0427391827
04842344,12,,26895.165349,0.8921001643
04842394,12,,43038.338721,1.2685655197
04842603,12,S35B,32340.482544,1.0427391827
04842604,12,S35B,28382.548909,0.8921001643
04842884,12,,66607.318204,3.0899737617
04843113,12,,26708.635345,1.179949284
04843114,12,,30050.992999,0.9654451793
04843133,12,S35B,13184.411067,0.8294276214
04843134,12,S35B,26852.663104,0.9079271975
04843443,12,S35B,25014.666152,0.8065362816
04843444,12,S35B,43063.470539,1.3535404895
04843883,12,S35D,13458.429369,1.1724190128
04843884,12,S35D,13379.695851,0.8476017853
04844753,12,,25685.904912,0.9381029227
04844754,12,,26108.215857,0.9905909953
04845353,12,S35D,19176.175662,1.2751684617
04845354,12,S35D,16455.080634,1.0675620695
04845913,12,,19968.488683,1.2902290041
04845943,12,,57669.891414,1.7746780775
04845944,12,,63188.837812,1.8756912736
04846623,12,S35B,18716.175997,1.0244387879
04847763,12,,43603.01742,1.4256166933
04847764,12,,31070.073236,1.1716905687
04848423,12,,27291.896527,0.9967570926
04848424,12,,22907.954443,0.8691675262
04848543,12,S35D,18957.719862,1.2606416889
04849253,12,S35B,26874.843245,0.9238446213
04849254,12,S35B,33117.206723,1.1106935514
04849423,12,,20013.646969,1.3947870931
04849424,12,,52781.228214,1.6085823759
04849493,12,S35B,34874.243183,1.179949284
04849494,12,S35B,28553.80279,0.9654451793
04849703,12,,33105.826845,0.9381029227
04849704,12,,35860.414002,0.9905909953
04849723,12,S35D,21118.119576,1.3978517902
04849724,12,S35D,15943.576024,1.2172395332
04849823,12,S35D,19771.401386,1.2331594042
04849824,12,S35D,21740.991631,1.321886423
04850023,12,,42706.792351,1.2902290041
04850024,12,,44215.032566,1.3032488575
04850113,12,,23472.925188,1.0341931796
04850114,12,,35604.655951,1.0247471019
04896002,12,,28779.115885,1.2902290041
04896003,12,,41064.043864,1.3032488575
04896004,12,,35584.532722,1.1904736989
04896102,12,,37954.46166,1.1367994056
04896103,12,,30845.233698,0.8840596742
04896104,12,,30924.941573,0.8684694786
04896942,12,S35D,21745.233095,1.7443994634
04896943,12,S35D,29399.0694,1.8580749475
04896944,12,S35D,25828.973412,1.5545635997
04897043,12,S35D,24498.578444,1.5483549577
04897044,12,S35D,15757.430139,0.9483895054
04897622,12,S35D,14494.318969,0.9381029227
04897623,12,S35D,15700.440179,0.9905909953
04897624,12,S35D,17054.195739,1.0112779992
04897762,12,,63631.888359,1.8727106416
04897764,12,,56422.645523,1.6773942112
04897832,12,,35292.583692,1.179949284
04897833,12,,30176.941197,0.9654451793
04897834,12,,26303.806526,1.156575075
04898872,12,S35D,17465.256566,1.151414484
04898873,12,S35D,12173.916642,0.974763962
04898874,12,S35D,13140.337782,1.1393012847
04898892,12,S35B,36327.347242,1.1159380997
04898893,12,S35B,42823.647731,1.3853948138
04898894,12,S35B,35437.721854,1.2085053985
04899122,12,S35B,30176.361736,1.287715293
04899123,12,S35B,20505.639375,1.2400835669
04899124,12,S35B,39566.565471,1.3493081798
04899912,12,,39948.140512,1.1725622357
04899914,12,,35216.174606,1.1475137344
04899933,12,,14649.595783,1.0270488842
04900913,12,S35B,34031.930858,1.0650054841
04901182,12,,39539.801403,1.2875720701
04901183,12,,28222.44207,0.879435855
04901184,12,,40209.139897,1.2276837787
04901312,12,S35D,12461.526174,0.8065362816
04902034,12,,26898.362584,0.8998795474
04902073,12,S35B,25987.343332,0.8476017853
04902272,12,,28716.80786,1.8513280405
04902273,12,,44452.45441,1.8659260446
04902274,12,,48260.818551,1.300164438
04903182,12,,62421.58773,1.8370910345
04903183,12,,75161.706778,2.3464247083
04903184,12,,63041.95895,1.8741804115
04903212,12,S35B,14451.396611,0.6604248932
04903213,12,S35B,37222.450985,1.2161357135
04903214,12,S35B,23370.287364,0.727131289
04903242,12,S35D,23578.996514,1.8915037004
04903243,12,S35D,30125.301438,1.9039741403
04903702,12,S35B,31212.809081,1.0637437114
04903703,12,S35B,18480.327222,0.7649379875
04903704,12,S35B,26386.121612,0.8431490984
04903772,12,,35664.781734,1.4324188822
04904282,12,S35D,27048.976797,1.6073476889
04904283,12,S35D,11740.616059,1.3734760532
04904613,12,,47444.392595,1.3489369248
04905953,12,,28326.32752,0.8827813815
04905954,12,,33248.009249,0.97383484
04906022,12,,34753.097331,0.9382461456
04906023,12,,47525.350171,1.3512387072
04906024,12,,37800.090969,1.1329024003
04906102,12,,41274.096868,1.9830379045
04906103,12,,49233.096574,1.8636242623
04906104,12,,42532.636253,1.5331872909
04906972,12,,42670.076029,1.3073298745
04907052,12,S35D,23326.122023,1.4698549692
04907322,12,S35B,16487.070371,0.9967570926
04907323,12,S35B,24898.221766,0.8691675262
04907324,12,S35B,39268.752569,1.218980472
04907703,12,,37530.820325,1.5299630621
04907892,12,,34323.749489,1.0408523717
04907893,12,,40377.646023,1.2105512795
04907894,12,,30831.653925,0.9144908815
04908782,12,S35D,20770.813,1.2751684617
04908783,12,S35D,17588.600538,1.0675620695
04908784,12,S35D,15472.528246,0.9291022156
04909812,12,S35D,20315.91127,1.2751684617
04909813,12,S35D,13204.319963,0.8476017853
04909814,12,S35D,12269.45338,1.0258893333
04910182,12,,34365.976272,1.0699560097
04910184,12,,44854.038704,1.3659252532
04910792,12,,31369.673704,0.9967570926
04910793,12,,26057.66022,0.8691675262
04910794,12,,41097.385239,1.218980472
04911112,12,S35D,21016.129379,1.2902290041
04911113,12,S35D,21471.654167,1.3032488575
04911114,12,S35D,19825.200741,1.1904736989
04911803,12,,43075.197851,1.2718481714
04911804,12,,37462.795546,1.1111757094
04911952,12,S35D,14696.809139,0.9022712544
