INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,NUM_VET,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRVG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,URBAN,HISP_REF,HISP2
0.4272316,0.4379327,0.4305367,0.4332029,0.4351408,0.4297633,0.5321070,05366941,35,D,36,D,1,4,D,01,D,2,D,12,D,12,D,1,D,1,D,5,D,3,D,0,D,54500,D,42517.161,0,D,4169,D,0,D,,A,0,D,,A,0,D,0,D,54500,D,25,D,40,D,0,D,674,D,155,D,761,D,175,D,,A,1,,2,D,,A,10,D,,A,0,D,3,D,0,D,04,D,1,1,,2,D,1,D,1,2,D,1,,1,01,2023,,A,1,D,1,D,2,,A,,A,,A,52,D,52,D,96659.269,,98858.579,66065.104,,,72773.724,,,65388.848,,83815.491,,,66385.169,76454.422,76601.468,0,,97408.521,77523.906,99555.319,103283.013,98520.736,,,,72330.526,,71719.611,88294.057,96509.468,,,,,,60775.592,,,,70471.332,56887.561,,93828.130,68.78000,68.78000,0.00000,7.58000,0.00000,0.00000,6.49000,18.98000,0.00000,5.49000,3.79000,10.49000,5.99000,5.98000,0.00000,0.00000,3.99000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,4,D,36,D,536694,,A,,A,0,D,54500.0,D,54500,54500,54500,54500,54500,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,54500.0,D,54500,54500,54500,54500,54500,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12A,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,5,1,2,2
0.4275478,0.4382489,0.4308529,0.4335190,0.4354570,0.4300795,0.5324232,05366942,35,D,36,D,1,4,D,01,D,2,D,12,D,12,D,1,D,1,D,5,D,3,D,0,D,54500,D,42517.161,0,D,4169,D,0,D,,A,0,D,,A,0,D,0,D,54500,D,25,D,40,D,0,D,674,D,155,D,761,D,175,D,,A,1,,2,D,,A,10,D,,A,0,D,3,D,0,D,04,D,1,1,,2,D,1,D,1,2,D,1,,1,01,2023,,A,1,D,2,D,2,,A,,A,,A,52,D,52,D,96659.269,,98858.579,66065.104,,,72773.724,,,65388.848,,83815.491,,,66385.169,76454.422,76601.468,0,,97408.521,77523.906,99555.319,103283.013,98520.736,,,,72330.526,,71719.611,88294.057,96509.468,,,,,,60775.592,,,,70471.332,56887.561,,93828.130,66.79000,66.79000,0.00000,7.58000,7.69000,0.00000,0.00000,0.00000,0.00000,4.99000,3.79000,11.99000,5.99000,3.49000,5.79000,0.00000,0.00000,0.00000,15.48000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,4,D,36,D,536694,,A,,A,0,D,54500.0,D,54500,54500,54500,54500,54500,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,54500.0,D,54500,54500,54500,54500,54500,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12A,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,5,1,2,2
0.3306096,0.5017255,0.2894623,0.1386187,0.5380529,0.0857530,0.0443090,05366961,35,D,,A,1,4,D,01,D,1,D,14,D,,A,1,D,,A,1,D,8,D,0,D,0,D,50563.715,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,40,D,,A,0,D,1304,D,300,D,1739,D,400,D,,A,5,,1,D,700,D,,A,,A,0,D,0,D,0,D,05,D,3,,A,2,D,1,D,3,1,D,,A,1,01,2023,,A,1,D,1,D,2,,A,,A,,A,52,D,,A,94298.417,85451.391,96698.347,97353.583,103123.886,105183.075,,,,107474.477,,104538.941,73405.576,98868.098,,,,0,,,78713.102,,,,107212.435,91042.517,,81991.786,,92278.764,77703.283,,,96682.886,,,96137.903,,97039.802,,,103536.150,114362.101,107386.883,,159.53000,159.53000,12.17000,0.00000,25.70000,11.23000,12.69000,0.00000,28.29000,0.00000,0.00000,8.61000,6.35000,24.86000,1.66000,0.00000,0.00000,0.00000,27.97000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,22,A,536696,1,D,,A,0,D,41604.6,D,14638,71564,20384,35462,65975,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,41604.6,D,14638,71564,20384,35462,65975,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,5,1,1,
0.2389402,0.3447457,0.1811510,0.0492165,0.4057096,0.2564997,0.0276392,05366962,35,D,,A,1,4,D,01,D,1,D,14,D,,A,1,D,,A,1,D,8,D,0,D,0,D,50563.715,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,40,D,,A,0,D,1304,D,300,D,1739,D,400,D,,A,5,,1,D,700,D,,A,,A,0,D,0,D,0,D,05,D,3,,A,2,D,1,D,3,1,D,,A,1,02,2023,,A,1,D,2,D,2,,A,,A,,A,52,D,,A,94298.417,85451.391,96698.347,97353.583,103123.886,105183.075,,,,107474.477,,104538.941,73405.576,98868.098,,,,0,,,78713.102,,,,107212.435,91042.517,,81991.786,,92278.764,77703.283,,,96682.886,,,96137.903,,97039.802,,,103536.150,114362.101,107386.883,,111.77000,101.90000,0.83000,13.62000,0.00000,0.00000,0.00000,6.84000,11.54000,0.00000,0.00000,10.10000,0.00000,19.02000,0.00000,0.00000,27.37000,0.00000,12.58000,9.87000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,25.16000,1,D,,A,0,D,22,A,536696,1,D,,A,0,D,31297.2,D,32000,50643,7019,25000,41824,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,31297.2,D,32000,50643,7019,25000,41824,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,5,1,1,
0.2860790,0.3014234,0.2958229,0.2965055,0.2975880,0.2965217,0.4136450,05366981,59,D,,A,1,2,D,01,D,1,D,14,D,,A,1,D,,A,1,D,8,D,0,D,36126,D,32745.446,0,D,1836,D,0,D,,A,0,D,,A,12126,D,0,D,24000,D,40,D,,A,0,D,304,D,70,D,435,D,100,D,,A,3,,1,D,,A,,A,,A,0,D,0,D,0,D,11,D,3,,A,2,D,1,D,3,1,D,,A,1,01,2023,1,D,1,D,1,D,2,,A,,A,,A,26,D,,A,,51714.983,,67099.010,,,,48144.821,63689.046,67058.540,72701.037,69064.728,,69455.607,63979.395,74351.395,,1,,66328.876,,66062.802,,,63395.968,70928.539,,51448.336,65471.917,,66575.175,,70261.292,56725.558,,,,69859.063,,,,,,63377.652,58309.092,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,45,D,536698,,A,,A,0,D,36126.0,D,36126,36126,36126,36126,36126,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,12126.0,D,12126,12126,12126,12126,12126,100,0.0,D,0,0,0,0,0,100,24000.0,D,24000,24000,24000,24000,24000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,3,1,2,
0.2863225,0.3016669,0.2960664,0.2967490,0.2978315,0.2967653,0.4138885,05366982,59,D,,A,1,2,D,01,D,1,D,14,D,,A,1,D,,A,1,D,8,D,0,D,36126,D,32745.446,0,D,1836,D,0,D,,A,0,D,,A,12126,D,0,D,24000,D,40,D,,A,0,D,304,D,70,D,435,D,100,D,,A,3,,1,D,,A,,A,,A,0,D,0,D,0,D,11,D,3,,A,2,D,1,D,3,1,D,,A,1,01,2023,1,D,1,D,2,D,2,,A,,A,,A,26,D,,A,,51714.983,,67099.010,,,,48144.821,63689.046,67058.540,72701.037,69064.728,,69455.607,63979.395,74351.395,,1,,66328.876,,66062.802,,,63395.968,70928.539,,51448.336,65471.917,,66575.175,,70261.292,56725.558,,,,69859.063,,,,,,63377.652,58309.092,11.16000,11.16000,0.00000,4.01000,5.15000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.91000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,45,D,536698,,A,,A,0,D,36126.0,D,36126,36126,36126,36126,36126,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,12126.0,D,12126,12126,12126,12126,12126,100,0.0,D,0,0,0,0,0,100,24000.0,D,24000,24000,24000,24000,24000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,3,1,2,
0.3748726,0.3809412,0.3751226,0.3770263,0.3859155,0.3772067,0.4651018,05367011,61,D,,A,1,4,D,01,D,1,D,13,D,,A,2,D,,A,1,D,8,D,0,D,43000,D,38524.645,0,D,3290,D,0,D,,A,0,D,,A,0,D,0,D,43000,D,40,D,,A,0,D,183,D,42,D,217,D,50,D,,A,3,,1,D,,A,,A,,A,0,D,0,D,0,D,10,D,3,,A,2,D,1,D,2,1,D,,A,1,01,2023,,A,2,D,1,D,2,,A,,A,,A,1,D,,A,,,83565.681,74528.573,70859.642,,,63500.920,,78442.432,,,67420.702,76644.482,,76612.093,75147.659,1,,77750.873,,75871.813,66752.367,,,,71224.928,,,,,,73174.243,62779.001,77558.157,,76974.379,,,,64656.525,62699.348,87660.104,71912.678,70031.614,74.82999,74.82999,0.00000,0.00000,0.00000,9.06187,0.00000,1.75145,0.00000,0.00000,4.55905,0.00000,3.80084,15.77831,0.00000,0.00000,6.08577,7.08314,26.70956,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,39,D,536701,,A,,A,0,D,46856.4,D,46284,48197,46854,46476,46471,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,46856.4,D,46284,48197,46854,46476,46471,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,3,1,2,
0.3491761,0.3896934,0.3321865,0.3596770,0.3726960,0.3424757,0.4648153,05367012,61,D,,A,1,4,D,01,D,1,D,13,D,,A,2,D,,A,1,D,8,D,0,D,43000,D,38524.645,0,D,3290,D,0,D,,A,0,D,,A,0,D,0,D,43000,D,40,D,,A,0,D,183,D,42,D,217,D,50,D,,A,3,,1,D,,A,,A,,A,0,D,0,D,0,D,10,D,3,,A,2,D,1,D,2,1,D,,A,1,01,2023,,A,2,D,2,D,2,,A,,A,,A,1,D,,A,,,83565.681,74528.573,70859.642,,,63500.920,,78442.432,,,67420.702,76644.482,,76612.093,75147.659,1,,77750.873,,75871.813,66752.367,,,,71224.928,,,,,,73174.243,62779.001,77558.157,,76974.379,,,,64656.525,62699.348,87660.104,71912.678,70031.614,72.85002,72.85002,7.05773,0.00000,0.00000,9.87767,0.00000,0.00000,0.00000,5.30615,4.19247,3.91616,0.00000,8.27656,0.39832,0.00000,4.81522,7.02472,21.98502,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,39,D,536701,,A,,A,0,D,43983.6,D,42150,45103,44260,40684,47721,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,43983.6,D,42150,45103,44260,40684,47721,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,3,1,2,
0.4549830,0.4524372,0.4469571,0.5423831,0.4267829,0.4527786,0.5159730,05367041,72,D,65,D,1,2,D,01,D,8,D,14,D,14,D,,A,,A,2,D,1,D,0,D,52019,D,11379.832,0,D,0,D,0,D,,A,0,D,,A,16019,D,0,D,0,D,,A,,A,0,D,348,D,80,D,435,D,100,D,,A,1,,0,D,,A,,A,,A,0,D,0,D,2,D,,A,2,1,,2,D,1,D,4,2,D,1,,1,01,2023,1,D,4,D,1,D,2,,A,1,D,1,D,0,D,0,D,,26061.676,,17981.042,,21022.461,23555.228,,,,22123.513,,,,,,18893.524,0,18927.556,23226.171,,23926.094,,,,23216.211,19286.844,24171.002,23309.211,28004.562,,19645.035,22873.353,25396.518,,,20770.293,,26614.672,,,24467.973,21740.616,,16857.087,210.27000,98.45000,0.00000,4.31000,0.00000,19.56000,0.00000,0.00000,0.00000,0.00000,7.09000,0.00000,6.01000,6.79000,9.69000,0.00000,0.00000,0.00000,45.00000,111.82000,0.00000,0.00000,0.00000,0.00000,130.14000,185.35000,0.00000,1,D,,A,0,D,06,D,536704,,A,,A,0,D,59958.8,D,58041,53688,74080,56987,56998,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,16019.0,D,16019,16019,16019,16019,16019,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S49E,14,0,D,0,0,0,0,0,100,0,,A,,A,5000,D,5000,5000,5000,5000,5000,100,5000,,C,,C,,B,6022,1669,22061,4968,4979,201,7940,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,31000,D,31000,31000,31000,31000,31000,100,31000,D,D,D,A,A,D,9,3,1,2,2
0.5207721,0.5268957,0.4878174,0.4122181,0.4968558,0.6524071,0.5160576,05367042,72,D,65,D,1,2,D,01,D,8,D,14,D,14,D,,A,,A,2,D,1,D,0,D,52019,D,11379.832,0,D,0,D,0,D,,A,0,D,,A,16019,D,0,D,0,D,,A,,A,0,D,348,D,80,D,435,D,100,D,,A,1,,0,D,,A,,A,,A,0,D,0,D,2,D,,A,2,1,,2,D,1,D,4,2,D,1,,1,01,2023,1,D,4,D,2,D,2,,A,1,D,1,D,0,D,0,D,,26061.676,,17981.042,,21022.461,23555.228,,,,22123.513,,,,,,18893.524,0,18927.556,23226.171,,23926.094,,,,23216.211,19286.844,24171.002,23309.211,28004.562,,19645.035,22873.353,25396.518,,,20770.293,,26614.672,,,24467.973,21740.616,,16857.087,116.18000,94.18000,0.00000,5.84000,0.00000,16.07000,13.99000,0.00000,0.00000,15.99000,6.28000,8.98000,0.79000,2.20000,0.00000,0.00000,5.22000,2.57000,16.25000,22.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.65000,20.63000,1,D,,A,0,D,06,D,536704,,A,,A,0,D,70421.6,D,99735,65000,52027,64907,70439,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,16019.0,D,16019,16019,16019,16019,16019,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S49E,14,0,D,0,0,0,0,0,100,0,,A,,A,5000,D,5000,5000,5000,5000,5000,100,5000,,C,,C,,B,47716,12981,8,12888,18420,201,18403,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,31000,D,31000,31000,31000,31000,31000,100,31000,D,D,D,A,A,D,9,3,1,2,2
