INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,NUM_VET,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRVG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,URBAN,HISP_REF,HISP2
0.7372914,0.7349218,0.7325633,0.7346201,0.7373259,0.7346435,0.7841820,05608101,42,D,43,D,1,1,D,01,D,2,D,13,D,15,D,1,D,1,D,6,D,3,D,0,D,131001,D,42715.173,0,D,10022,D,0,D,,A,0,D,,A,0,D,0,D,131000,D,15,D,40,D,0,D,870,D,200,D,1087,D,250,D,,A,1,,2,D,,A,03,D,,A,0,D,4,D,0,D,04,D,3,1,,2,D,1,D,4,2,D,1,,1,10,2023,1,D,3,D,1,D,2,,A,,A,,A,48,D,52,D,140132.656,71375.412,105398.205,112164.303,,81824.851,120232.419,101398.583,119072.662,117075.640,,,,88974.554,,75250.512,124251.685,0,113756.597,,,,,,82555.539,,,,73067.598,116850.501,,56526.500,,78175.086,118721.156,,,68765.180,,,74382.071,,79521.456,,,324.10000,128.52000,0.00000,4.62000,0.00000,0.00000,0.00000,15.95000,8.23000,0.00000,0.00000,9.26000,19.50000,3.39000,0.00000,15.74000,0.00000,0.00000,51.83000,195.58000,103.30999,0.00000,12.66000,27.82000,0.00000,10.14000,80.38000,1,D,,A,4,D,49,D,560810,,A,,A,0,D,131001.0,D,131001,131001,131001,131001,131001,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,131000.0,D,131000,131000,131000,131000,131000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,1,D,1,1,1,1,1,100,1,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,8,5,1,2,2
0.7376088,0.7352391,0.7328807,0.7349375,0.7376433,0.7349608,0.7844994,05608102,42,D,43,D,1,1,D,01,D,2,D,13,D,15,D,1,D,1,D,6,D,3,D,0,D,131001,D,42715.173,0,D,10022,D,0,D,,A,0,D,,A,0,D,0,D,131000,D,15,D,40,D,0,D,870,D,200,D,1087,D,250,D,,A,1,,2,D,,A,03,D,,A,0,D,4,D,0,D,04,D,3,1,,2,D,1,D,4,2,D,1,,1,10,2023,1,D,3,D,2,D,2,,A,,A,,A,48,D,52,D,140132.656,71375.412,105398.205,112164.303,,81824.851,120232.419,101398.583,119072.662,117075.640,,,,88974.554,,75250.512,124251.685,0,113756.597,,,,,,82555.539,,,,73067.598,116850.501,,56526.500,,78175.086,118721.156,,,68765.180,,,74382.071,,79521.456,,,145.45000,42.84000,0.00000,7.70000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.84000,0.00000,3.09000,8.94000,0.00000,21.27000,102.61000,89.83999,0.00000,0.00000,0.00000,0.00000,0.00000,5.32000,1,D,,A,4,D,49,D,560810,,A,,A,0,D,131001.0,D,131001,131001,131001,131001,131001,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,131000.0,D,131000,131000,131000,131000,131000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,1,D,1,1,1,1,1,100,1,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,8,5,1,2,2
0.4038868,0.2207418,0.1871092,0.6707713,0.3021441,0.5364434,0.1890963,05608111,65,D,61,D,1,1,D,01,D,5,D,12,D,12,D,,A,1,D,2,D,1,D,0,D,12954,D,24776.989,0,D,0,D,0,D,,A,0,D,,A,12779,D,0,D,0,D,,A,40,D,0,D,870,D,200,D,1522,D,350,D,,A,1,,1,D,40,D,10,D,,A,0,D,0,D,1,D,,A,1,1,,2,D,1,D,1,1,D,2,,1,10,2023,1,D,2,D,1,D,2,,A,1,D,,A,0,D,48,D,41713.011,39866.554,60636.983,,,54583.290,,,57945.799,,45322.106,,,51807.699,38734.305,52503.442,,0,43371.032,50483.435,49384.021,45092.510,50468.206,,,,51428.582,,41272.842,49650.337,44296.340,,,,,,55729.365,,,,38218.030,52573.693,,48239.022,,44.92000,44.92000,0.00000,5.70000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.95000,4.19000,0.00000,0.00000,0.00000,4.79000,9.13000,0.00000,18.16000,0.00000,58.54000,0.00000,25.44000,9.08000,42.65000,35.00000,35.71000,1,D,,A,0,D,34,D,560811,,A,,A,0,D,57265.8,D,78679,40727,108438,27529,30956,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,12779.0,D,12779,12779,12779,12779,12779,100,0.0,D,0,0,0,0,0,100,44311.8,D,65725,27773,95484,14575,18002,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12A,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,175,D,175,175,175,175,175,100,175,,A,,A,,A,,,,,,100,,D,A,A,A,D,A,2,3,1,2,2
0.4816126,0.3849821,0.5046467,0.4005430,0.4474900,0.6478859,0.1889122,05608112,65,D,61,D,1,1,D,01,D,5,D,12,D,12,D,,A,1,D,2,D,1,D,0,D,12954,D,24776.989,0,D,0,D,0,D,,A,0,D,,A,12779,D,0,D,0,D,,A,40,D,0,D,870,D,200,D,1522,D,350,D,,A,1,,1,D,40,D,10,D,,A,0,D,0,D,1,D,,A,1,1,,2,D,1,D,1,1,D,2,,1,10,2023,1,D,2,D,2,D,2,,A,1,D,,A,0,D,48,D,41713.011,39866.554,60636.983,,,54583.290,,,57945.799,,45322.106,,,51807.699,38734.305,52503.442,,0,43371.032,50483.435,49384.021,45092.510,50468.206,,,,51428.582,,41272.842,49650.337,44296.340,,,,,,55729.365,,,,38218.030,52573.693,,48239.022,,107.12000,107.12000,9.98000,10.69000,0.00000,3.60000,17.13000,0.00000,0.00000,0.00000,3.18000,12.27000,0.00000,8.86000,0.00000,0.00000,19.80000,0.00000,21.61000,0.00000,127.95000,0.00000,24.78000,0.00000,0.00000,63.44000,4.79000,1,D,,A,0,D,34,D,560811,,A,,A,0,D,69669.6,D,104089,63235,55688,72853,52483,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,12779.0,D,12779,12779,12779,12779,12779,100,0.0,D,0,0,0,0,0,100,56715.6,D,91135,50281,42734,59899,39529,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12A,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,175,D,175,175,175,175,175,100,175,,A,,A,,A,,,,,,100,,D,A,A,A,D,A,2,3,1,2,2
0.9995205,0.9995205,0.9996827,0.9995205,0.9995205,0.9998414,0.9998378,05608121,68,D,66,D,1,2,D,01,D,2,D,16,D,12,D,5,D,5,D,2,D,1,D,0,D,2320000,T,21830.802,0,D,7650,D,0,D,,A,0,D,,A,0,D,0,D,100000,D,18,D,15,D,0,D,,B,,B,2391,D,550,D,,A,1,,2,D,1500,D,03,D,,A,0,D,0,D,2,D,03,D,4,1,,2,D,1,D,4,1,D,2,,1,10,2023,1,D,2,D,1,D,2,,A,,A,,A,30,D,30,D,44520.228,,,40282.197,,39997.549,,,39896.112,40849.293,47711.297,,31587.440,50590.665,39928.158,43056.416,42381.378,0,,,,40190.839,,41481.432,49623.726,43503.024,,,,,,43173.663,,,,48060.790,53327.525,,42683.929,,34600.930,45167.732,,,42025.738,359.16000,260.49000,27.79000,8.59000,17.99000,8.31000,0.00000,0.00000,4.69000,0.00000,9.18000,30.46000,27.59000,11.85000,0.00000,14.57000,48.08000,10.98000,40.41000,98.67000,5.00000,0.00000,0.00000,0.00000,0.00000,0.00000,42.32000,1,D,,A,0,D,06,T,560812,,A,,A,0,D,1530610.4,T,1583619,1522376,1518196,1506528,1522331,202,18450.0,T,18450,18450,18450,18450,18450,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,100000.0,D,100000,100000,100000,100000,100000,100,T,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,16,0,D,98196,36953,32773,21105,36908,202,45187,,A,,A,50000,D,50000,50000,50000,50000,50000,100,50000,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,2170000,T,1335423,1335423,1335423,1335423,1335423,100,1335423,D,D,A,A,A,T,9,3,1,2,2
0.9998414,0.9998414,0.9995205,0.9996827,0.9996827,0.9996791,1.0000000,05608122,68,D,66,D,1,2,D,01,D,2,D,16,D,12,D,5,D,5,D,2,D,1,D,0,D,2320000,T,21830.802,0,D,7650,D,0,D,,A,0,D,,A,0,D,0,D,100000,D,18,D,15,D,0,D,,B,,B,2391,D,550,D,,A,1,,2,D,1500,D,03,D,,A,0,D,0,D,2,D,03,D,4,1,,2,D,1,D,4,1,D,2,,1,10,2023,1,D,2,D,2,D,2,,A,,A,,A,30,D,30,D,44520.228,,,40282.197,,39997.549,,,39896.112,40849.293,47711.297,,31587.440,50590.665,39928.158,43056.416,42381.378,0,,,,40190.839,,41481.432,49623.726,43503.024,,,,,,43173.663,,,,48060.790,53327.525,,42683.929,,34600.930,45167.732,,,42025.738,185.11000,185.11000,29.98000,14.96000,0.00000,13.13000,0.00000,0.00000,0.00000,0.00000,0.00000,8.99000,14.61000,44.23000,11.46000,2.58000,6.52000,0.00000,38.65000,0.00000,67.04000,0.00000,0.00000,0.00000,0.00000,5.00000,12.83762,1,D,,A,0,D,06,T,560812,,A,,A,0,D,1555802.6,T,1580873,1541742,1549816,1502956,1603624,202,18450.0,T,18450,18450,18450,18450,18450,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,100000.0,D,100000,100000,100000,100000,100000,100,T,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,16,0,D,95450,56319,64393,17533,118201,202,70379,,A,,A,50000,D,50000,50000,50000,50000,50000,100,50000,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,2170000,T,1335423,1335423,1335423,1335423,1335423,100,1335423,D,D,A,A,A,T,9,3,1,2,2
0.1842717,0.1985123,0.1911633,0.1983157,0.1937268,0.1926007,0.3075742,05608131,44,D,,A,1,4,D,01,D,1,D,00,D,,A,3,D,,A,3,D,7,D,0,D,28080,D,64935.741,0,D,1836,D,0,D,,A,0,D,12,D,0,D,0,D,24000,D,40,D,,A,4080,D,609,D,140,D,783,D,180,D,,A,5,,1,D,,A,,A,,A,0,D,2,D,0,D,10,D,1,,A,1,D,1,D,3,2,D,,A,1,10,2023,,A,1,D,1,D,2,,A,,A,,A,52,D,,A,144657.670,148754.501,124730.145,148953.491,,,,168289.585,,119855.682,113479.211,139324.501,,,,,,0,115870.894,,,,134215.716,124823.448,,131119.523,,151378.472,118059.640,,,122892.955,,,119526.906,,101977.512,,,129575.509,148363.133,113616.150,,176298.785,129544.180,261.16000,127.20000,0.00000,0.00000,33.76000,0.00000,3.38000,0.00000,0.00000,1.99000,4.62000,9.28000,12.25000,9.02000,1.79000,9.49000,24.82000,0.00000,16.80000,133.96000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,4,D,48,D,560813,6,D,,A,0,D,28080.0,D,28080,28080,28080,28080,28080,100,0.0,D,0,0,0,0,0,0,D,0,D,340.0,D,340,340,340,340,340,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,24000.0,D,24000,24000,24000,24000,24000,100,D,4080.0,D,4080,4080,4080,4080,4080,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37A,11,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,4,1,1,
0.1837892,0.1980298,0.1906808,0.1978333,0.1932443,0.1921182,0.3070918,05608132,44,D,,A,1,4,D,01,D,1,D,00,D,,A,3,D,,A,3,D,7,D,0,D,28080,D,64935.741,0,D,1836,D,0,D,,A,0,D,12,D,0,D,0,D,24000,D,40,D,,A,4080,D,609,D,140,D,783,D,180,D,,A,5,,1,D,,A,,A,,A,0,D,2,D,0,D,10,D,1,,A,1,D,1,D,3,2,D,,A,1,10,2023,,A,1,D,2,D,2,,A,,A,,A,52,D,,A,144657.670,148754.501,124730.145,148953.491,,,,168289.585,,119855.682,113479.211,139324.501,,,,,,0,115870.894,,,,134215.716,124823.448,,131119.523,,151378.472,118059.640,,,122892.955,,,119526.906,,101977.512,,,129575.509,148363.133,113616.150,,176298.785,129544.180,166.77000,79.22000,9.09000,7.76000,11.94000,0.00000,5.97000,0.00000,0.00000,1.82000,1.66000,9.46000,9.00000,3.92000,0.00000,0.00000,1.28000,0.00000,17.32000,87.55000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,4,D,48,D,560813,6,D,,A,0,D,28080.0,D,28080,28080,28080,28080,28080,100,0.0,D,0,0,0,0,0,0,D,0,D,340.0,D,340,340,340,340,340,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,24000.0,D,24000,24000,24000,24000,24000,100,D,4080.0,D,4080,4080,4080,4080,4080,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37A,11,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,4,1,1,
0.3131513,0.3231500,0.3216044,0.3286126,0.3279349,0.3210602,0.4249766,05608161,57,D,61,D,2,2,D,01,D,5,D,13,D,13,D,,A,1,D,2,D,1,D,0,D,44000,D,18405.421,0,D,918,D,0,D,,A,0,D,,A,0,D,0,D,12000,D,,A,40,D,0,D,435,D,100,D,652,D,150,D,,A,1,,1,D,,A,14,D,,A,0,D,0,D,0,D,,A,5,1,,2,D,1,D,4,2,D,1,,2,10,2023,1,D,2,D,1,D,2,,A,4,D,,A,0,D,12,D,29824.295,,29824.295,29824.295,37609.418,,29824.295,29824.295,29824.295,29824.295,33382.054,,,,39404.255,,29824.295,0,29824.295,39912.494,,,,,,30947.677,,,,29824.295,34305.917,,29824.295,,35466.007,35128.232,,,34288.607,,,42523.882,,36293.888,,66.31000,66.31000,0.00000,0.00000,29.59000,0.00000,0.00000,0.00000,0.00000,0.00000,8.86000,16.92000,0.00000,8.84000,0.00000,0.00000,2.10000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.80000,1,D,,A,0,D,,D,560816,,A,2,D,0,D,44000.0,D,44000,44000,44000,44000,44000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,12000.0,D,12000,12000,12000,12000,12000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,32000,D,32000,32000,32000,32000,32000,100,32000,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,D,A,A,,4,2,2,1
0.3132881,0.3232868,0.3217412,0.3287494,0.3280716,0.3211969,0.4251134,05608162,57,D,61,D,2,2,D,01,D,5,D,13,D,13,D,,A,1,D,2,D,1,D,0,D,44000,D,18405.421,0,D,918,D,0,D,,A,0,D,,A,0,D,0,D,12000,D,,A,40,D,0,D,435,D,100,D,652,D,150,D,,A,1,,1,D,,A,14,D,,A,0,D,0,D,0,D,,A,5,1,,2,D,1,D,4,2,D,1,,2,10,2023,1,D,2,D,2,D,2,,A,4,D,,A,0,D,12,D,29824.295,,29824.295,29824.295,37609.418,,29824.295,29824.295,29824.295,29824.295,33382.054,,,,39404.255,,29824.295,0,29824.295,39912.494,,,,,,30947.677,,,,29824.295,34305.917,,29824.295,,35466.007,35128.232,,,34288.607,,,42523.882,,36293.888,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,,D,560816,,A,2,D,0,D,44000.0,D,44000,44000,44000,44000,44000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,12000.0,D,12000,12000,12000,12000,12000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,32000,D,32000,32000,32000,32000,32000,100,32000,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,D,A,A,,4,2,2,1
