INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,NUM_VET,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRVG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,URBAN,HISP_REF,HISP2
0.6028247,0.7410220,0.1083734,0.7519852,0.4826895,0.6770668,0.0215487,05446621,40,D,45,D,1,3,D,,B,2,D,15,D,16,D,5,D,1,D,2,D,1,D,0,D,0,D,36735.696,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,40,D,60,D,0,D,0,D,0,D,0,D,0,D,,A,1,,2,D,,A,11,D,,A,0,D,0,D,0,D,10,D,2,1,,2,D,1,D,1,2,D,1,,1,05,2023,1,D,,A,1,D,2,,A,,A,,A,52,D,38,D,,82603.057,82415.183,,68468.119,73782.430,,87768.144,,68837.075,61521.818,,,,77289.572,,,0,,,,71383.905,69152.709,84136.173,,75788.652,,,,77984.089,78021.190,69919.366,75015.228,85454.425,,59726.217,79413.556,75932.582,,,70938.283,,80402.001,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,09,A,544662,,A,,A,0,D,89840.2,D,109080,67428,130926,16128,125639,202,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,72538.0,D,87778,64348,102675,10819,97070,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,217,,A,,A,,A,,A,,A,,A,,16,0,D,21302,3080,28251,5309,28569,201,17302,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,1,5,1,2,2
0.9201604,0.9261821,0.9265720,0.9178342,0.9248526,0.9099569,0.1118668,05446622,40,D,45,D,1,4,D,,B,2,D,15,D,16,D,5,D,1,D,2,D,1,D,0,D,0,D,37737.027,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,40,D,60,D,0,D,0,D,0,D,0,D,0,D,,A,1,,2,D,,A,11,D,,A,0,D,0,D,0,D,10,D,2,1,,2,D,1,D,1,2,D,1,,1,05,2023,,A,,A,2,D,2,,A,,A,,A,52,D,38,D,,82192.587,90487.134,,72814.881,89680.214,,92385.538,,69232.572,67531.652,,,,76470.693,,,0,,,,80452.402,70166.387,88225.419,,77027.784,,,,86608.068,69030.364,83017.420,96454.004,83481.164,,64023.739,68953.699,79893.725,,,79456.685,,86224.420,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,09,A,544662,,A,,A,0,D,249134.9,T,227974,254306,245136,257065,261193,202,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,79069.8,D,57909,84241,75071,87000,91128,201,T,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,217,,A,,A,,A,,A,,A,,A,,16,0,D,170065,170065,170065,170065,170065,201,170065,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,T,A,A,A,A,A,1,5,1,2,2
0.1522954,0.1599476,0.1624442,0.1588079,0.1631052,0.1673232,0.2783813,05446651,63,D,,A,1,1,D,01,D,1,D,12,D,,A,1,D,,A,1,D,8,D,0,D,22800,D,33352.242,0,D,918,D,0,D,,A,0,D,,A,10800,D,0,D,12000,D,22,D,,A,0,D,326,D,75,D,435,D,100,D,,A,1,,1,D,,A,,A,,A,0,D,0,D,0,D,10,D,2,,A,2,D,1,D,2,2,D,,A,1,04,2023,1,D,,A,1,D,2,,A,,A,,A,52,D,,A,,68392.457,64269.477,62997.245,,,72108.692,,70016.563,,,65555.960,74808.386,,71186.720,60646.934,,0,74994.163,,56234.709,59900.362,,,,69202.361,,,,,,65429.341,62865.982,68467.548,,66472.387,,,,61120.982,65087.952,69534.967,62573.317,66487.932,,101.05000,101.05000,0.00000,12.99000,0.00000,0.00000,6.24000,0.00000,0.00000,2.79000,0.00000,2.67000,3.24000,0.00000,6.68000,2.50000,0.00000,3.99000,59.95000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,11.55000,39.64000,1,D,,A,0,D,39,D,544665,,A,,A,0,D,22800.0,D,22800,22800,22800,22800,22800,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,10800.0,D,10800,10800,10800,10800,10800,100,0.0,D,0,0,0,0,0,100,12000.0,D,12000,12000,12000,12000,12000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,3,1,2,
0.1520471,0.1596993,0.1621959,0.1585596,0.1628569,0.1670749,0.2781330,05446652,63,D,,A,1,1,D,01,D,1,D,12,D,,A,1,D,,A,1,D,8,D,0,D,22800,D,33352.242,0,D,918,D,0,D,,A,0,D,,A,10800,D,0,D,12000,D,22,D,,A,0,D,326,D,75,D,435,D,100,D,,A,1,,1,D,,A,,A,,A,0,D,0,D,0,D,10,D,2,,A,2,D,1,D,2,2,D,,A,1,04,2023,1,D,,A,2,D,2,,A,,A,,A,52,D,,A,,68392.457,64269.477,62997.245,,,72108.692,,70016.563,,,65555.960,74808.386,,71186.720,60646.934,,0,74994.163,,56234.709,59900.362,,,,69202.361,,,,,,65429.341,62865.982,68467.548,,66472.387,,,,61120.982,65087.952,69534.967,62573.317,66487.932,,85.09000,73.20000,0.00000,0.00000,0.00000,0.00000,6.69000,0.00000,0.00000,0.00000,3.79000,17.14000,4.20000,8.25000,7.68000,0.00000,6.80000,0.00000,18.65000,11.89000,0.00000,0.00000,0.00000,16.08000,0.00000,13.94000,0.00000,1,D,,A,0,D,39,D,544665,,A,,A,0,D,22800.0,D,22800,22800,22800,22800,22800,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,10800.0,D,10800,10800,10800,10800,10800,100,0.0,D,0,0,0,0,0,100,12000.0,D,12000,12000,12000,12000,12000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,3,1,2,
0.4035937,0.4046235,0.4172467,0.4063014,0.4097385,0.4116048,0.5071346,05446661,73,D,51,D,1,4,D,01,D,1,D,13,D,12,D,1,D,,A,2,D,1,D,0,D,54800,D,51178.203,0,D,6288,D,0,D,,A,0,D,,A,0,D,0,D,27400,D,35,D,,A,0,D,404,D,93,D,478,D,110,D,,A,1,,1,D,,A,,A,,A,0,D,0,D,1,D,10,D,4,1,,2,D,1,D,3,1,D,2,,1,04,2023,,A,1,D,1,D,2,,A,,A,1,D,52,D,0,D,,105655.548,124503.339,,113592.573,,,,100681.415,107890.266,84969.006,82058.773,83357.209,,85342.438,101288.525,106462.433,0,,,111208.621,,105320.491,,,90558.216,104246.879,,74335.904,111875.284,,101326.646,,96458.671,89739.271,,,,92593.445,,,,,,100150.846,107.28000,87.28000,19.81188,5.29000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.39000,23.98000,0.00000,10.00000,0.00000,3.73000,4.96812,8.53000,6.58000,20.00000,0.00000,0.00000,16.29000,4.80000,0.00000,0.00000,13.90000,1,D,,A,0,D,12,D,544666,,A,,A,0,D,54800.0,D,54800,54800,54800,54800,54800,100,6288.0,D,6288,6288,6288,6288,6288,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,27400.0,D,27400,27400,27400,27400,27400,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,27400,D,27400,27400,27400,27400,27400,100,27400,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,3,1,2,2
0.4039747,0.4050045,0.4176277,0.4066824,0.4101195,0.4119857,0.5075156,05446662,73,D,51,D,1,4,D,01,D,1,D,13,D,12,D,1,D,,A,2,D,1,D,0,D,54800,D,51178.203,0,D,6288,D,0,D,,A,0,D,,A,0,D,0,D,27400,D,35,D,,A,0,D,404,D,93,D,478,D,110,D,,A,1,,1,D,,A,,A,,A,0,D,0,D,1,D,10,D,4,1,,2,D,1,D,3,1,D,2,,1,04,2023,,A,1,D,2,D,2,,A,,A,1,D,52,D,0,D,,105655.548,124503.339,,113592.573,,,,100681.415,107890.266,84969.006,82058.773,83357.209,,85342.438,101288.525,106462.433,0,,,111208.621,,105320.491,,,90558.216,104246.879,,74335.904,111875.284,,101326.646,,96458.671,89739.271,,,,92593.445,,,,,,100150.846,76.93000,63.40000,3.49000,0.00000,0.00000,0.00000,4.47000,3.49000,0.00000,4.76000,4.89000,0.00000,0.00000,9.37000,16.30000,0.00000,5.68000,0.00000,10.95000,13.53000,0.00000,0.00000,0.00000,0.00000,0.00000,149.54000,97.12000,1,D,,A,0,D,12,D,544666,,A,,A,0,D,54800.0,D,54800,54800,54800,54800,54800,100,6288.0,D,6288,6288,6288,6288,6288,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,27400.0,D,27400,27400,27400,27400,27400,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,27400,D,27400,27400,27400,27400,27400,100,27400,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,3,1,2,2
0.8985210,0.8985657,0.8967643,0.8951430,0.8951365,0.8949821,0.9298243,05446701,31,D,29,D,1,1,D,01,D,2,D,15,D,15,D,1,D,1,D,2,D,1,D,0,D,210000,D,32992.439,15000,D,16066,D,0,D,,A,0,D,,A,0,D,0,D,210000,D,40,D,40,D,0,D,435,D,100,D,522,D,120,D,29000,D,1,,2,D,,A,03,D,,A,29000,D,0,D,0,D,03,D,2,1,,2,D,1,D,3,2,D,1,,1,04,2023,1,D,2,D,1,D,2,,A,,A,,A,40,D,52,D,,70633.433,,,,75500.355,71613.951,68189.183,72940.791,68798.031,,68423.373,72992.258,65456.556,,,68755.518,0,,73139.080,,,83734.172,70653.522,,65134.304,76426.621,,58700.651,,50309.503,79737.350,,,,53645.565,,,,,,64790.936,54485.431,62659.466,,206.74002,206.74002,11.25845,44.73351,16.35506,8.33333,0.00000,0.00000,0.00000,11.35060,4.34990,12.35843,19.91315,16.00726,1.95081,4.80385,5.20096,0.00000,50.12471,0.00000,0.00000,0.00000,83.13000,0.00000,106.93000,0.00000,0.00000,1,D,,A,0,D,37,D,544670,,A,,A,0,D,210610.6,D,210298,210001,210096,210241,212417,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,210000.0,D,210000,210000,210000,210000,210000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,C,,B,,C,298,1,96,241,2417,201,611,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,5,5,1,2,2
0.8979062,0.8968792,0.8959821,0.8948974,0.8953821,0.8960626,0.9295787,05446702,31,D,29,D,1,1,D,01,D,2,D,15,D,15,D,1,D,1,D,2,D,1,D,0,D,210000,D,32992.439,15000,D,16066,D,0,D,,A,0,D,,A,0,D,0,D,210000,D,40,D,40,D,0,D,435,D,100,D,522,D,120,D,29000,D,1,,2,D,,A,03,D,,A,29000,D,0,D,0,D,03,D,2,1,,2,D,1,D,3,2,D,1,,1,05,2023,1,D,2,D,2,D,2,,A,,A,,A,40,D,52,D,,70633.433,,,,75500.355,71613.951,68189.183,72940.791,68798.031,,68423.373,72992.258,65456.556,,,68755.518,0,,73139.080,,,83734.172,70653.522,,65134.304,76426.621,,58700.651,,50309.503,79737.350,,,,53645.565,,,,,,64790.936,54485.431,62659.466,,119.11001,93.51001,0.00000,7.39389,0.00000,3.41209,0.00000,3.27696,0.00000,6.43766,5.00365,4.69456,0.00000,9.78433,2.39045,2.40868,5.82700,9.75009,33.13065,25.60000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,37,D,544670,,A,,A,0,D,210185.6,D,210513,210401,210001,210001,210012,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,210000.0,D,210000,210000,210000,210000,210000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,C,,B,,C,513,401,1,1,12,201,186,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,5,5,1,2,2
0.5477671,0.5655242,0.6186308,0.5385694,0.5380422,0.5047787,0.6436254,05446711,35,D,,A,1,4,D,01,D,4,D,15,D,,A,4,D,,A,2,D,9,D,0,D,79000,D,33240.737,0,D,6044,D,0,D,,A,0,D,,A,0,D,0,D,79000,D,31,D,,A,0,D,1217,D,280,D,1304,D,300,D,,A,5,,2,D,46,D,,A,,A,0,D,0,D,0,D,02,D,3,,A,2,D,1,D,1,2,D,,A,1,04,2023,,A,1,D,1,D,2,,A,,A,,A,52,D,,A,63372.127,,,61253.097,,,65258.731,,56756.732,,,57593.626,62770.840,82477.193,,70424.155,70329.917,0,68875.129,54763.054,66359.680,,,,74034.478,,56339.774,59690.191,55391.177,,,,,,68796.849,,,,64852.699,83996.502,,73895.240,,54345.527,46343.148,72.00000,35.70000,3.48000,0.00000,0.00000,7.08000,0.00000,0.00000,0.00000,0.00000,0.00000,12.67000,0.00000,0.00000,0.00000,8.98000,0.00000,0.00000,3.49000,36.30000,0.00000,0.00000,0.00000,0.00000,0.00000,10.58000,0.00000,1,D,,A,0,D,25,D,544671,,A,,A,0,D,79983.6,D,71523,77083,78127,91101,82084,302,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,79983.6,D,71523,77083,78127,91101,82084,302,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,1,5,1,2,
0.5683360,0.5437372,0.6169215,0.5737986,0.5998938,0.5281596,0.6438729,05446712,35,D,,A,1,4,D,01,D,4,D,15,D,,A,4,D,,A,2,D,9,D,0,D,79000,D,33240.737,0,D,6044,D,0,D,,A,0,D,,A,0,D,0,D,79000,D,31,D,,A,0,D,1217,D,280,D,1304,D,300,D,,A,5,,2,D,46,D,,A,,A,0,D,0,D,0,D,02,D,3,,A,2,D,1,D,1,2,D,,A,1,04,2023,,A,1,D,2,D,2,,A,,A,,A,52,D,,A,63372.127,,,61253.097,,,65258.731,,56756.732,,,57593.626,62770.840,82477.193,,70424.155,70329.917,0,68875.129,54763.054,66359.680,,,,74034.478,,56339.774,59690.191,55391.177,,,,,,68796.849,,,,64852.699,83996.502,,73895.240,,54345.527,46343.148,142.76000,88.89000,0.00000,10.52000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.49000,6.99000,0.00000,0.00000,5.99000,32.96000,0.00000,22.94000,53.87000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,25,D,544671,,A,,A,0,D,83493.2,D,75418,89231,84169,90495,78153,302,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,83493.2,D,75418,89231,84169,90495,78153,302,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,1,5,1,2,
