INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,NUM_VET,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRVG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,URBAN,HISP_REF,HISP2
0.8296892,0.7440865,0.8099170,0.8279677,0.8810359,0.8464830,0.8152162,05780411,34,D,36,D,1,1,D,01,D,5,D,15,D,16,D,,A,1,D,7,D,3,D,0,D,150000,D,40041.546,0,D,11475,D,0,D,,A,0,D,,A,0,D,0,D,150000,D,,A,40,D,0,D,,,,,1087,D,250,D,,A,1,,1,D,,A,03,D,,A,0,D,5,D,0,D,,A,3,1,,2,D,1,D,4,2,D,1,,1,07,2024,1,D,2,D,1,D,2,,A,2,D,,A,0,D,52,D,57221.327,141911.815,43811.120,34601.041,,148539.363,57433.073,38177.377,39938.109,26476.744,,,,127176.592,,153827.272,33480.102,0,30534.336,,,,,,134932.867,,,,160996.247,44281.016,,130767.875,,149059.931,55671.363,,,114131.844,,,126542.237,,124681.209,,,206.09000,206.09000,0.00000,12.85000,0.00000,0.00000,0.00000,50.74000,0.00000,0.00000,5.91000,7.20000,23.90000,16.96000,0.00000,0.00000,36.91000,0.00000,51.62000,0.00000,0.00000,0.00000,20.59000,29.08000,0.00000,0.00000,26.21000,1,D,,A,2,D,49,D,578041,,A,,A,0,D,172058.4,D,184415,205491,172744,160982,136660,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,172058.4,D,184415,205491,172744,160982,136660,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,8,5,2,2,2
0.8278742,0.8550988,0.7945660,0.8776004,0.8035299,0.7676043,0.8212913,05780412,34,D,36,D,1,1,D,01,D,5,D,15,D,16,D,,A,1,D,7,D,3,D,0,D,150000,D,40041.546,0,D,11475,D,0,D,,A,0,D,,A,0,D,0,D,150000,D,,A,40,D,0,D,,,,,1087,D,250,D,,A,1,,1,D,,A,03,D,,A,0,D,5,D,0,D,,A,3,1,,2,D,1,D,4,2,D,1,,1,07,2024,1,D,2,D,2,D,2,,A,2,D,,A,0,D,52,D,57221.327,141911.815,43811.120,34601.041,,148539.363,57433.073,38177.377,39938.109,26476.744,,,,127176.592,,153827.272,33480.102,0,30534.336,,,,,,134932.867,,,,160996.247,44281.016,,130767.875,,149059.931,55671.363,,,114131.844,,,126542.237,,124681.209,,,304.73000,293.69000,5.05000,28.35000,0.00000,0.00000,8.38000,24.06000,34.47000,0.00000,6.10000,37.35000,34.48000,3.93000,0.00000,4.12000,13.38000,22.64000,71.38000,11.04000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,65.60000,1,D,,A,2,D,49,D,578041,,A,,A,0,D,170571.4,D,145516,161713,203194,154407,188027,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,170571.4,D,145516,161713,203194,154407,188027,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,8,5,2,2,2
0.6094694,0.1127659,0.6670505,0.6953635,0.6924412,0.6712544,0.1014024,05780421,49,D,50,D,1,1,D,01,D,2,D,13,D,12,D,1,D,1,D,2,D,1,D,0,D,800,D,33058.852,0,D,0,D,0,D,,A,0,D,4,D,0,D,0,D,0,D,40,D,25,D,800,D,,,,,435,D,100,D,,A,1,,2,D,,A,10,D,,A,0,D,0,D,0,D,13,D,4,1,,1,D,1,D,4,1,D,2,,1,07,2024,1,D,3,D,1,D,2,,A,,A,,A,52,D,6,D,,67240.279,,,,69325.112,,,,,,46917.047,46917.047,59096.332,,46917.047,,0,,,56041.349,63552.948,63994.474,49909.431,53744.667,,47772.349,58421.108,46917.047,,,72972.081,,62169.929,,,51888.083,84404.519,,46917.047,61575.227,,49796.364,,77407.371,531.60000,123.53000,0.00000,12.74000,19.22000,0.00000,1.49000,0.00000,0.00000,7.64000,23.22000,2.48000,12.42000,4.53000,2.82000,0.00000,8.00000,0.00000,28.97000,408.07000,0.00000,0.00000,0.00000,270.94000,0.00000,0.00000,0.00000,1,D,,A,0,D,04,A,578042,1,D,1,D,0,D,97340.8,D,111835,122378,121845,111792,18854,202,0.0,D,0,0,0,0,0,0,D,0,D,200.0,D,200,200,200,200,200,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,96540.8,D,111035,121578,121045,110992,18054,202,D,800.0,D,800,800,800,800,800,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,8,4,1,1,1
0.5009726,0.5000176,0.4158107,0.6482030,0.6524869,0.1274606,0.1011586,05780422,49,D,50,D,1,1,D,01,D,2,D,13,D,12,D,1,D,1,D,2,D,1,D,0,D,800,D,33058.852,0,D,0,D,0,D,,A,0,D,4,D,0,D,0,D,0,D,40,D,25,D,800,D,,,,,435,D,100,D,,A,1,,2,D,,A,10,D,,A,0,D,0,D,0,D,13,D,4,1,,1,D,1,D,4,1,D,2,,1,07,2024,1,D,3,D,2,D,2,,A,,A,,A,52,D,6,D,,67240.279,,,,69325.112,,,,,,46917.047,46917.047,59096.332,,46917.047,,0,,,56041.349,63552.948,63994.474,49909.431,53744.667,,47772.349,58421.108,46917.047,,,72972.081,,62169.929,,,51888.083,84404.519,,46917.047,61575.227,,49796.364,,77407.371,131.60000,41.26000,0.00000,0.00000,0.00000,15.60184,9.54816,0.00000,0.00000,0.00000,0.00000,4.12000,1.55000,0.00000,4.62000,0.00000,0.00000,0.00000,5.82000,90.34000,0.00000,0.00000,0.00000,139.81000,0.00000,0.00000,0.00000,1,D,,A,0,D,04,A,578042,1,D,1,D,0,D,74748.2,D,21088,110576,107685,62233,72159,202,0.0,D,0,0,0,0,0,0,D,0,D,200.0,D,200,200,200,200,200,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,73948.2,D,20288,109776,106885,61433,71359,202,D,800.0,D,800,800,800,800,800,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,8,4,1,1,1
0.3239650,0.3494944,0.3771885,0.3141188,0.3205562,0.2839167,0.1375856,05780521,68,D,69,D,1,2,D,01,D,8,D,15,D,16,D,,A,,A,2,D,1,D,0,D,4192,D,25245.161,0,D,0,D,0,D,,A,0,D,,A,4192,D,0,D,0,D,,A,,A,0,D,,,,,761,D,175,D,,A,1,,0,D,,A,,A,,A,0,D,0,D,2,D,,A,1,1,,2,D,1,D,3,2,D,1,,1,07,2024,1,D,1,D,1,D,2,,A,1,D,1,D,0,D,0,D,,,,,,50092.756,54262.395,74802.714,,62749.397,,,,45753.526,53649.505,53793.741,35303.213,0,55156.908,,53981.951,33372.970,81260.505,,,48701.540,,70243.246,,,32375.782,65278.286,,55824.079,43049.956,,60860.826,,63058.658,50453.810,,,,69987.937,,73.72000,36.52000,0.00000,4.79000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.48000,0.00000,8.27000,0.00000,0.00000,0.00000,15.98000,0.00000,0.00000,37.20000,18.90000,0.00000,10.69000,0.00000,0.00000,5.00000,0.00000,1,D,,A,0,D,48,A,578052,,A,,A,0,D,48095.2,D,41584,47164,46048,55336,50344,202,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,48095.2,D,41584,47164,46048,55336,50344,202,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37B,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,3,1,2,2
0.3039585,0.2187378,0.3067323,0.2117761,0.3523999,0.4319357,0.1380461,05780522,68,D,69,D,1,2,D,01,D,8,D,15,D,16,D,,A,,A,2,D,1,D,0,D,4192,D,25245.161,0,D,0,D,0,D,,A,0,D,,A,4192,D,0,D,0,D,,A,,A,0,D,,,,,761,D,175,D,,A,1,,0,D,,A,,A,,A,0,D,0,D,2,D,,A,1,1,,2,D,1,D,3,2,D,1,,1,07,2024,1,D,1,D,2,D,2,,A,1,D,1,D,0,D,0,D,,,,,,50092.756,54262.395,74802.714,,62749.397,,,,45753.526,53649.505,53793.741,35303.213,0,55156.908,,53981.951,33372.970,81260.505,,,48701.540,,70243.246,,,32375.782,65278.286,,55824.079,43049.956,,60860.826,,63058.658,50453.810,,,,69987.937,,236.66000,45.57000,5.18000,1.08000,3.99000,0.00000,0.00000,0.00000,8.07000,0.00000,7.36000,0.00000,2.34000,2.58000,0.00000,0.00000,4.98000,0.00000,9.99000,191.09000,6.99000,0.00000,0.00000,0.00000,0.00000,9.17000,139.41000,1,D,,A,0,D,48,A,578052,,A,,A,0,D,45054.4,D,64576,51736,32236,44716,32008,202,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,45054.4,D,64576,51736,32236,44716,32008,202,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37B,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,3,1,2,2
0.5069779,0.5200966,0.5113859,0.5233521,0.4914278,0.5231422,0.5797637,05780551,35,D,38,D,1,1,D,01,D,2,D,13,D,12,D,1,D,1,D,2,D,1,D,0,D,74000,D,32646.355,150,D,5661,D,0,D,,A,0,D,,A,0,D,0,D,74000,D,40,D,40,D,0,D,,,,,652,D,150,D,,A,1,,2,D,,A,10,D,,A,0,D,0,D,0,D,01,D,2,1,,2,D,1,D,3,2,D,1,,1,07,2024,1,D,2,D,1,D,2,,A,,A,,A,52,D,52,D,,98701.995,,,,,,95013.431,78676.140,66348.174,,90709.294,,,,64640.385,66787.627,1,85343.711,40295.409,60849.092,,96357.331,89454.881,64125.338,,,89802.118,,68236.722,,,57876.273,70613.875,,60860.113,89104.281,,69637.624,,85916.991,74741.696,,,,117.23000,74.07000,11.95000,13.03000,0.00000,0.00000,7.59000,0.00000,0.00000,0.00000,4.33000,10.04000,0.00000,0.00000,0.00000,3.79000,7.06000,0.00000,16.28000,43.16000,0.00000,0.00000,0.00000,0.00000,0.00000,4.87000,107.55000,1,D,,A,0,D,40,D,578055,,A,,A,0,D,75844.8,D,78027,72014,77765,75021,76397,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,75844.8,D,78027,72014,77765,75021,76397,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,5,1,2,2
0.4991756,0.4997737,0.5299011,0.4904910,0.4969630,0.5072728,0.5795229,05780552,35,D,38,D,1,1,D,01,D,2,D,13,D,12,D,1,D,1,D,2,D,1,D,0,D,74000,D,32646.355,150,D,5661,D,0,D,,A,0,D,,A,0,D,0,D,74000,D,40,D,40,D,0,D,,,,,652,D,150,D,,A,1,,2,D,,A,10,D,,A,0,D,0,D,0,D,01,D,2,1,,2,D,1,D,3,2,D,1,,1,07,2024,1,D,2,D,2,D,2,,A,,A,,A,52,D,52,D,,98701.995,,,,,,95013.431,78676.140,66348.174,,90709.294,,,,64640.385,66787.627,1,85343.711,40295.409,60849.092,,96357.331,89454.881,64125.338,,,89802.118,,68236.722,,,57876.273,70613.875,,60860.113,89104.281,,69637.624,,85916.991,74741.696,,,,164.91000,111.33000,2.16000,4.33000,49.06000,0.00000,0.00000,10.79000,0.00000,0.00000,0.00000,4.55000,0.00000,5.70000,0.00000,0.00000,15.21000,0.00000,19.53000,53.58000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.96000,1,D,,A,0,D,40,D,578055,,A,,A,0,D,74209.8,D,74978,72863,71825,79268,72115,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,74209.8,D,74978,72863,71825,79268,72115,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,5,1,2,2
0.3782149,0.3882105,0.3824942,0.3883722,0.3860103,0.3862759,0.4812600,05780571,68,D,64,D,1,4,D,01,D,8,D,12,D,12,D,,A,,A,2,D,1,D,0,D,56800,D,37830.933,0,D,0,D,0,D,,A,0,D,,A,37600,D,0,D,0,D,,A,,A,0,D,,,,,957,D,220,D,,A,1,,0,D,,A,,A,,A,0,D,0,D,1,D,,A,5,1,,2,D,1,D,,2,D,1,,2,07,2024,,A,1,D,1,D,2,,A,1,D,1,D,0,D,0,D,76955.248,86263.210,,,71817.916,,78278.978,,,84102.093,75706.403,73665.894,,77446.929,77170.949,81176.689,75674.988,0,70150.312,,,,77703.014,,67654.681,71310.203,79493.302,,,,,,82014.757,,,,89858.234,79152.512,,75268.984,,82165.511,89742.244,,,150.44000,150.44000,12.09671,4.39843,8.97071,13.35951,0.00000,8.55144,12.66301,4.33943,3.70103,3.60238,10.29179,8.29141,6.02801,8.96415,14.51907,4.54845,26.11447,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.83945,0.00000,1,D,,A,0,D,,D,578057,,A,,A,0,D,56800.0,D,56800,56800,56800,56800,56800,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,37600.0,D,37600,37600,37600,37600,37600,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,19200,D,19200,19200,19200,19200,19200,100,19200,,A,,A,,A,,,,,,100,,D,A,A,A,D,A,,3,1,2,2
0.3784940,0.3884896,0.3827733,0.3886513,0.3862894,0.3865549,0.4815390,05780572,68,D,64,D,1,4,D,01,D,8,D,12,D,12,D,,A,,A,2,D,1,D,0,D,56800,D,37830.933,0,D,0,D,0,D,,A,0,D,,A,37600,D,0,D,0,D,,A,,A,0,D,,,,,957,D,220,D,,A,1,,0,D,,A,,A,,A,0,D,0,D,1,D,,A,5,1,,2,D,1,D,,2,D,1,,2,07,2024,,A,1,D,2,D,2,,A,1,D,1,D,0,D,0,D,76955.248,86263.210,,,71817.916,,78278.978,,,84102.093,75706.403,73665.894,,77446.929,77170.949,81176.689,75674.988,0,70150.312,,,,77703.014,,67654.681,71310.203,79493.302,,,,,,82014.757,,,,89858.234,79152.512,,75268.984,,82165.511,89742.244,,,744.29999,744.29999,23.18379,68.05114,66.78051,34.68396,10.11542,29.40758,58.84240,6.54874,19.75913,50.50200,37.94440,27.05128,42.24290,27.51381,70.67517,37.66814,133.32962,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,,D,578057,,A,,A,0,D,56800.0,D,56800,56800,56800,56800,56800,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,37600.0,D,37600,37600,37600,37600,37600,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,19200,D,19200,19200,19200,19200,19200,100,19200,,A,,A,,A,,,,,,100,,D,A,A,A,D,A,,3,1,2,2
