newid,state,strtyear,strtmnth,psu,nywgt
04601081,36,2020,9,NA,71586.12256265192
04601082,36,2020,9,NA,71586.12256265192
04601361,36,2020,9,NA,40805.5417831708
04601362,36,2020,10,NA,40805.5417831708
04601411,36,2020,9,S12A,11575.239599
04601412,36,2020,9,S12A,11575.239599
04602661,36,2020,9,S12A,25017.200755151734
04602662,36,2020,9,S12A,25017.200755151734
04602861,36,2020,9,S12A,17355.343009149998
04602862,36,2020,9,S12A,17355.343009149998
04603011,36,2020,9,NA,56489.14995072297
04603012,36,2020,9,NA,56489.14995072297
04604791,36,2020,9,S12A,157348.18064182464
04604792,36,2020,9,S12A,157348.18064182464
04605551,36,2020,9,S12A,9987.0707434
04605552,36,2020,10,S12A,9987.0707434
04605981,36,2020,9,S12A,110913.04103862355
04605982,36,2020,10,S12A,110913.04103862355
04607551,36,2020,9,NA,13046.08195455793
04607552,36,2020,9,NA,13046.08195455793
04607571,36,2020,9,S12A,77937.6843634794
04607572,36,2020,9,S12A,77937.6843634794
04608671,36,2020,9,S12A,42892.210705894264
04608672,36,2020,9,S12A,42892.210705894264
04609561,36,2020,9,S12A,67004.54768573272
04609562,36,2020,9,S12A,67004.54768573272
04621571,36,2020,11,NA,30536.895382041508
04621572,36,2020,11,NA,30536.895382041508
04621741,36,2020,11,S12A,34671.91512327609
04621742,36,2020,11,S12A,34671.91512327609
04621751,36,2020,11,S12A,81096.04180625016
04621752,36,2020,11,S12A,81096.04180625016
04622031,36,2020,11,S12A,47269.227064529885
04622032,36,2020,11,S12A,47269.227064529885
04622831,36,2020,11,S12A,58322.68751527725
04622832,36,2020,11,S12A,58322.68751527725
04623671,36,2020,11,S12A,48883.833913703435
04623672,36,2020,11,S12A,48883.833913703435
04624011,36,2020,11,S12A,53739.99607026606
04624012,36,2020,11,S12A,53739.99607026606
04624031,36,2020,11,S12A,89447.81638830228
04624032,36,2020,11,S12A,89447.81638830228
04624061,36,2020,11,S12A,29879.384663479323
04624062,36,2020,11,S12A,29879.384663479323
04624541,36,2020,11,S12A,57688.91594109588
04624542,36,2020,11,S12A,57688.91594109588
04625881,36,2020,11,NA,70219.23349474548
04625882,36,2020,11,NA,70219.23349474548
04626321,36,2020,11,S12A,83571.31629891499
04626322,36,2020,11,S12A,83571.31629891499
04626431,36,2020,12,NA,56433.01303149695
04626432,36,2020,12,NA,56433.01303149695
04626851,36,2020,11,S12A,24448.78050639393
04626852,36,2020,11,S12A,24448.78050639393
04627031,36,2020,11,S12A,64469.63551293144
04627032,36,2020,11,S12A,64469.63551293144
04627771,36,2020,11,S12A,100997.8933941824
04627772,36,2020,11,S12A,100997.8933941824
04627851,36,2020,11,NA,40244.15297057788
04627852,36,2020,11,NA,40244.15297057788
04628201,36,2020,11,NA,46922.54007468778
04628202,36,2020,11,NA,46922.54007468778
04630121,36,2020,11,S12A,34199.47664175837
04630122,36,2020,11,S12A,34199.47664175837
04630361,36,2020,11,S12A,13147.379010023405
04630362,36,2020,11,S12A,13147.379010023405
04631661,36,2020,11,NA,12136.050795248257
04631662,36,2020,11,NA,12136.050795248257
04632771,36,2020,11,NA,24784.47934538477
04632772,36,2020,11,NA,24784.47934538477
04633171,36,2020,11,S12A,49878.65635256268
04633172,36,2020,12,S12A,49878.65635256268
04634821,36,2020,11,NA,79442.45523382822
04634822,36,2020,11,NA,79442.45523382822
04636831,36,2020,10,S12A,95208.43873914256
04636832,36,2020,10,S12A,95208.43873914256
04636851,36,2020,10,S12A,37963.4480431047
04636852,36,2020,11,S12A,37963.4480431047
04638592,36,2020,10,NA,69837.51568361773
04638901,36,2020,10,S12A,46941.927665871466
04638902,36,2020,10,S12A,46941.927665871466
04639651,36,2020,10,S12A,49255.83751378242
04639652,36,2020,10,S12A,49255.83751378242
04641071,36,2020,10,NA,31618.220774344045
04641072,36,2020,10,NA,31618.220774344045
04641151,36,2020,10,S12A,50787.08100031571
04641152,36,2020,10,S12A,50787.08100031571
04641341,36,2020,10,S12A,209278.06415000558
04641342,36,2020,10,S12A,209278.06415000558
04641481,36,2020,10,NA,28346.380938637092
04641482,36,2020,10,NA,87586.43910890764
04642251,36,2020,10,S12A,51037.566795006285
04642252,36,2020,10,S12A,32952.660818391916
04642891,36,2020,10,S12A,42803.37671508377
04642892,36,2020,10,S12A,42803.37671508377
04642901,36,2020,10,NA,63482.46414634851
04642902,36,2020,10,NA,63482.46414634851
04643091,36,2020,10,S12A,44379.08953860917
04643092,36,2020,10,S12A,44379.08953860917
04643451,36,2020,10,S12A,180914.72676774368
04643791,36,2020,10,S12A,32825.97241759443
04643792,36,2020,10,S12A,32825.97241759443
04644341,36,2020,10,NA,21059.104970049855
04644342,36,2020,10,NA,21059.104970049855
04644761,36,2020,11,NA,37976.07124440682
04644762,36,2020,11,NA,37976.07124440682
04646501,36,2020,10,S12A,60640.67740078967
04647921,36,2020,10,S12A,91764.18334469279
04647922,36,2020,10,S12A,91764.18334469279
04648211,36,2020,10,S12A,50787.08100031571
04648212,36,2020,10,S12A,50787.08100031571
04649161,36,2020,10,S12A,21912.340785449072
04649162,36,2020,11,S12A,21912.340785449072
04649191,36,2020,10,NA,47111.633628105876
04649192,36,2020,10,NA,47111.633628105876
04651231,36,2020,10,S12A,39565.00176192753
04651232,36,2020,11,S12A,39565.00176192753
04663721,36,2020,12,S12A,34743.96060334684
04663722,36,2020,12,S12A,34743.96060334684
04663961,36,2020,12,S12A,48189.65660683683
04663962,36,2020,12,S12A,48189.65660683683
04664301,36,2020,12,NA,42606.9702944574
04664302,36,2020,12,NA,42606.9702944574
04665191,36,2020,12,NA,42270.02629019226
04665192,36,2020,12,NA,42270.02629019226
04665241,36,2020,12,NA,19149.326396984357
04665242,36,2020,12,NA,19149.326396984357
04665931,36,2020,12,S12A,18507.6932956978
04665932,36,2020,12,S12A,18507.6932956978
04667031,36,2020,12,S12A,51660.34425339008
04667032,36,2020,12,S12A,51660.34425339008
04667871,36,2020,12,S12A,108488.89845503269
04667872,36,2020,12,S12A,108488.89845503269
04668061,36,2020,12,S12A,56803.78534716523
04668062,36,2020,12,S12A,56803.78534716523
04668331,36,2020,12,S12A,55635.26398168721
04668332,36,2020,12,S12A,55635.26398168721
04668971,36,2020,12,S12A,104491.33245293073
04668972,36,2020,12,S12A,104491.33245293073
04669111,36,2020,12,NA,71903.83997387749
04669112,36,2020,12,NA,71903.83997387749
04669171,36,2020,12,S12A,39527.79272510167
04669172,36,2020,12,S12A,39527.79272510167
04670301,36,2020,12,NA,34549.81072332503
04670302,36,2020,12,NA,34549.81072332503
04671381,36,2020,12,S12A,61402.31304118192
04671382,36,2020,12,S12A,61402.31304118192
04672361,36,2020,12,S12A,48438.04184763198
04672362,36,2020,12,S12A,48438.04184763198
04672711,36,2020,12,S12A,59162.54475085432
04672712,36,2020,12,S12A,59162.54475085432
04673851,36,2020,12,S12A,40928.15040548682
04673852,36,2020,12,S12A,40928.15040548682
04674741,36,2020,12,S12A,43544.52470033675
04674742,36,2020,12,S12A,43544.52470033675
04675331,36,2020,12,S12A,57097.9973551063
04675332,36,2020,12,S12A,57097.9973551063
04675411,36,2020,12,S12A,31323.89767841158
04675412,36,2020,12,S12A,31323.89767841158
04676231,36,2020,12,S12A,80602.68032574357
04676232,36,2020,12,S12A,80602.68032574357
04676331,36,2020,12,NA,18465.58687969963
04676332,36,2020,12,NA,18465.58687969963
04678011,36,2020,12,S12A,40492.27311290603
04678012,36,2020,12,S12A,40492.27311290603
04678021,36,2020,12,S12A,32050.575095505177
04678022,36,2020,12,S12A,32050.575095505177
04678151,36,2020,12,S12A,109630.1598477141
04678152,36,2020,12,S12A,109630.1598477141
04678601,36,2020,12,S12A,11002.230882743606
04678602,36,2020,12,S12A,11002.230882743606
