newid,state,strtyear,strtmnth,psu,txwgt
04628301,48,2020,11,NA,187521.50368239835
04628302,48,2020,11,NA,187521.50368239835
04629341,48,2020,11,NA,43727.99918875351
04629342,48,2020,11,NA,43727.99918875351
04630541,48,2020,11,S37A,55892.409746103025
04630542,48,2020,11,S37A,55892.409746103025
04630791,48,2020,11,NA,49861.36987065176
04630792,48,2020,11,NA,49861.36987065176
04630821,48,2020,11,NA,131130.54727081006
04630822,48,2020,11,NA,131130.54727081006
04632641,48,2020,11,S37A,86995.78412395206
04632642,48,2020,11,S37A,86995.78412395206
04633521,48,2020,11,S37A,70197.58857304638
04633522,48,2020,11,S37A,70197.58857304638
04633541,48,2020,11,S37B,52079.13040288883
04633542,48,2020,11,S37B,52079.13040288883
04636071,48,2020,11,S37A,115668.35217198645
04636072,48,2020,11,S37A,115668.35217198645
04636081,48,2020,11,S37A,69361.39749422995
04636082,48,2020,11,S37A,69361.39749422995
04636451,48,2020,11,S37B,43927.025265153054
04636452,48,2020,11,S37B,43927.025265153054
04637672,48,2020,10,NA,73479.4168845211
04637831,48,2020,10,NA,100838.09363223378
04637832,48,2020,10,NA,100838.09363223378
04638001,48,2020,10,S37B,31964.254151328565
04638002,48,2020,10,S37B,74700.51630236096
04638051,48,2020,10,S37A,84723.780029668
04638052,48,2020,10,S37A,84723.780029668
04638691,48,2020,10,S37A,40793.4611306618
04638692,48,2020,10,S37A,40793.4611306618
04638971,48,2020,10,S37A,29432.172548682738
04638972,48,2020,10,S37A,29432.172548682738
04639701,48,2020,10,S37B,77989.25766514805
04639702,48,2020,10,S37B,77989.25766514805
04640131,48,2020,10,S37A,32588.393405146395
04640132,48,2020,10,S37A,32588.393405146395
04640251,48,2020,10,S37B,65407.56324949944
04640252,48,2020,10,S37B,65407.56324949944
04641111,48,2020,10,NA,91145.23305846093
04641112,48,2020,11,NA,91145.23305846093
04641851,48,2020,10,S37A,49331.05873162516
04641852,48,2020,10,S37A,49331.05873162516
04642101,48,2020,10,S37B,7190.579020579999
04642102,48,2020,10,S37B,7190.579020579999
