numppl,0,50,100,150,200,250,300,350,400
1,0,6380,12760,19140,25520,31900,38280,44660,51040
2,0,8620,17240,25860,34480,43100,51720,60340,68960
3,0,10860,21720,32580,43440,54300,65160,76020,86880
4,0,13100,26200,39300,52400,65500,78600,91700,104800
5,0,15340,30680,46020,61360,76700,92040,107380,122720
6,0,17580,35160,52740,70320,87900,105480,123060,140640
7,0,19820,39640,59460,79280,99100,118920,138740,158560
8,0,22060,44120,66180,88240,110300,132360,154420,176480
9,0,24300,48600,72900,97200,121500,145800,170100,194400
10,0,26540,53080,79620,106160,132700,159240,185780,212320
11,0,28780,57560,86340,115120,143900,172680,201460,230240
12,0,31020,62040,93060,124080,155100,186120,217140,248160
13,0,33260,66520,99780,133040,166300,199560,232820,266080
14,0,35500,71000,106500,142000,177500,213000,248500,284000
15,0,37740,75480,113220,150960,188700,226440,264180,301920
