numppl,0,50,100,150,200,250,300,350,400
1,0,6795,13590,20385,27180,33975,40770,47565,54360
2,0,9155,18310,27465,36620,45775,54930,64085,73240
3,0,11515,23030,34545,46060,57575,69090,80605,92120
4,0,13875,27750,41625,55500,69375,83250,97125,111000
5,0,16235,32470,48705,64940,81175,97410,113645,129880
6,0,18595,37190,55785,74380,92975,111570,130165,148760
7,0,20955,41910,62865,83820,104775,125730,146685,167640
8,0,23315,46630,69945,93260,116575,139890,163205,186520
9,0,25675,51350,77025,102700,128375,154050,179725,205400
10,0,28035,56070,84105,112140,140175,168210,196245,224280
11,0,30395,60790,91185,121580,151975,182370,212765,243160
12,0,32755,65510,98265,131020,163775,196530,229285,262040
13,0,35115,70230,105345,140460,175575,210690,245805,280920
14,0,37475,74950,112425,149900,187375,224850,262325,299800
15,0,39835,79670,119505,159340,199175,239010,278845,318680
