numppl,0,50,100,150,200,250,300,350,400
1,0,7290,14580,21870,29160,36450,43740,51030,58320
2,0,9860,19720,29580,39440,49300,59160,69020,78880
3,0,12430,24860,37290,49720,62150,74580,87010,99440
4,0,15000,30000,45000,60000,75000,90000,105000,120000
5,0,17570,35140,52710,70280,87850,105420,122990,140560
6,0,20140,40280,60420,80560,100700,120840,140980,161120
7,0,22710,45420,68130,90840,113550,136260,158970,181680
8,0,25280,50560,75840,101120,126400,151680,176960,202240
9,0,27850,55700,83550,111400,139250,167100,194950,222800
10,0,30420,60840,91260,121680,152100,182520,212940,243360
11,0,32990,65980,98970,131960,164950,197940,230930,263920
12,0,35560,71120,106680,142240,177800,213360,248920,284480
13,0,38130,76260,114390,152520,190650,228780,266910,305040
14,0,40700,81400,122100,162800,203500,244200,284900,325600
15,0,43270,86540,129810,173080,216350,259620,302890,346160
