numppl,0,50,100,150,200,250,300,350,400
1,0,6440,12880,19320,25760,32200,38640,45080,51520
2,0,8710,17420,26130,34840,43550,52260,60970,69680
3,0,10980,21960,32940,43920,54900,65880,76860,87840
4,0,13250,26500,39750,53000,66250,79500,92750,106000
5,0,15520,31040,46560,62080,77600,93120,108640,124160
6,0,17790,35580,53370,71160,88950,106740,124530,142320
7,0,20060,40120,60180,80240,100300,120360,140420,160480
8,0,22330,44660,66990,89320,111650,133980,156310,178640
9,0,24600,49200,73800,98400,123000,147600,172200,196800
10,0,26870,53740,80610,107480,134350,161220,188090,214960
11,0,29140,58280,87420,116560,145700,174840,203980,233120
12,0,31410,62820,94230,125640,157050,188460,219870,251280
13,0,33680,67360,101040,134720,168400,202080,235760,269440
14,0,35950,71900,107850,143800,179750,215700,251650,287600
15,0,38220,76440,114660,152880,191100,229320,267540,305760
