numppl,0,50,100,150,200,250,300,350,400
1,0,6030,12060,18090,24120,30150,36180,42210,48240
2,0,8120,16240,24360,32480,40600,48720,56840,64960
3,0,10210,20420,30630,40840,51050,61260,71470,81680
4,0,12300,24600,36900,49200,61500,73800,86100,98400
5,0,14390,28780,43170,57560,71950,86340,100730,115120
6,0,16480,32960,49440,65920,82400,98880,115360,131840
7,0,18570,37140,55710,74280,92850,111420,129990,148560
8,0,20660,41320,61980,82640,103300,123960,144620,165280
9,0,22750,45500,68250,91000,113750,136500,159250,182000
10,0,24840,49680,74520,99360,124200,149040,173880,198720
11,0,26930,53860,80790,107720,134650,161580,188510,215440
12,0,29020,58040,87060,116080,145100,174120,203140,232160
13,0,31110,62220,93330,124440,155550,186660,217770,248880
14,0,33200,66400,99600,132800,166000,199200,232400,265600
15,0,35290,70580,105870,141160,176450,211740,247030,282320
