numppl,0,50,100,150,200,250,300,350,400
1,0,5940,11880,17820,23760,29700,35640,41580,47520
2,0,8010,16020,24030,32040,40050,48060,56070,64080
3,0,10080,20160,30240,40320,50400,60480,70560,80640
4,0,12150,24300,36450,48600,60750,72900,85050,97200
5,0,14220,28440,42660,56880,71100,85320,99540,113760
6,0,16290,32580,48870,65160,81450,97740,114030,130320
7,0,18360,36720,55080,73440,91800,110160,128520,146880
8,0,20430,40860,61290,81720,102150,122580,143010,163440
9,0,22500,45000,67500,90000,112500,135000,157500,180000
10,0,24570,49140,73710,98280,122850,147420,171990,196560
11,0,26640,53280,79920,106560,133200,159840,186480,213120
12,0,28710,57420,86130,114840,143550,172260,200970,229680
13,0,30780,61560,92340,123120,153900,184680,215460,246240
14,0,32850,65700,98550,131400,164250,197100,229950,262800
15,0,34920,69840,104760,139680,174600,209520,244440,279360
