numppl,0,50,100,150,200,250,300,350,400
1,0,6245,12490,18735,24980,31225,37470,43715,49960
2,0,8455,16910,25365,33820,42275,50730,59185,67640
3,0,10665,21330,31995,42660,53325,63990,74655,85320
4,0,12875,25750,38625,51500,64375,77250,90125,103000
5,0,15085,30170,45255,60340,75425,90510,105595,120680
6,0,17295,34590,51885,69180,86475,103770,121065,138360
7,0,19505,39010,58515,78020,97525,117030,136535,156040
8,0,21715,43430,65145,86860,108575,130290,152005,173720
9,0,23925,47850,71775,95700,119625,143550,167475,191400
10,0,26135,52270,78405,104540,130675,156810,182945,209080
11,0,28345,56690,85035,113380,141725,170070,198415,226760
12,0,30555,61110,91665,122220,152775,183330,213885,244440
13,0,32765,65530,98295,131060,163825,196590,229355,262120
14,0,34975,69950,104925,139900,174875,209850,244825,279800
15,0,37185,74370,111555,148740,185925,223110,260295,297480
